nbpts,z_h,Te
843,6.10E+10,2.34E+06
844,6.11E+10,2.34E+06
845,6.12E+10,2.34E+06
846,6.13E+10,2.34E+06
847,6.13E+10,2.34E+06
848,6.14E+10,2.34E+06
849,6.15E+10,2.34E+06
850,6.16E+10,2.34E+06
851,6.16E+10,2.34E+06
852,6.17E+10,2.34E+06
853,6.18E+10,2.34E+06
854,6.18E+10,2.34E+06
855,6.19E+10,2.34E+06
856,6.20E+10,2.34E+06
857,6.21E+10,2.34E+06
858,6.21E+10,2.34E+06
859,6.22E+10,2.34E+06
860,6.23E+10,2.34E+06
861,6.24E+10,2.34E+06
862,6.24E+10,2.34E+06
863,6.25E+10,2.34E+06
864,6.26E+10,2.34E+06
865,6.26E+10,2.35E+06
866,6.27E+10,2.35E+06
867,6.28E+10,2.35E+06
868,6.29E+10,2.35E+06
869,6.29E+10,2.35E+06
870,6.30E+10,2.35E+06
