nbpts,z_h,Te
1205,87295000000,2352900
1206,87367000000,2352900
1207,87440000000,2353000
1208,87512000000,2353000
1209,87585000000,2353000
1210,87657000000,2353000
1211,87730000000,2353000
1212,87802000000,2353100
1213,87875000000,2353100
1214,87947000000,2353100
1215,88020000000,2353100
1216,88092000000,2353100
1217,88165000000,2353100
1218,88237000000,2353200
1219,88310000000,2353200
1220,88382000000,2353200
1221,88455000000,2353200
1222,88527000000,2353200
1223,88600000000,2353300
1224,88672000000,2353300
1225,88745000000,2353300
1226,88817000000,2353300
1227,88890000000,2353300
1228,88962000000,2353400
1229,89035000000,2353400
1230,89107000000,2353400
1231,89180000000,2353400
1232,89252000000,2353400
1233,89325000000,2353500
1234,89397000000,2353500
1235,89470000000,2353500
1236,89542000000,2353500
1237,89615000000,2353500
1238,89687000000,2353600
1239,89760000000,2353600
1240,89832000000,2353600
1241,89905000000,2353600
1242,89977000000,2353600
1243,90050000000,2353600
1244,90122000000,2353700
1245,90195000000,2353700
1246,90267000000,2353700
